"CAPKO_1" "CAPKO_2" "CAPKO_3" "CAPKO_4" "CAPKO_5" "WT_1" "WT_2" "WT_3" "WT_4" "WT_5"
"PBANKA_0609200" 58 24 39 55 14 267 278 337 305 339
"PBANKA_0609300" 172 40 73 119 7 429 451 721 501 901
"PBANKA_0609500" 2643 650 314 1389 206 42 291 139 46 29
"PBANKA_0609600" 4 3 0 13 0 21 17 22 17 8
"PBANKA_0609700" 93 21 51 139 19 689 836 752 338 155
"PBANKA_0609800" 81 29 30 116 6 165 158 254 169 236
"PBANKA_0609900" 2715 1155 1024 2103 578 4235 3253 3712 4781 6439
"PBANKA_0610000" 176 65 81 205 9 464 398 525 427 314
"PBANKA_0610100" 971 203 232 864 59 2336 2701 1698 681 382
"PBANKA_0610200" 1558 780 501 1241 410 2125 2316 3353 3353 6412
"PBANKA_0610300" 317 168 119 384 74 2362 1951 2772 2073 3073
"PBANKA_0610400" 10360 3381 2605 7515 1377 16191 18201 11312 7788 3564
"PBANKA_0610500" 788 327 453 640 119 1810 1629 2289 2611 3296
"PBANKA_0610600" 315 103 123 295 50 491 464 629 564 475
"PBANKA_0610700" 32 20 11 28 7 26 33 39 45 29
"PBANKA_0610800" 516 167 276 774 55 2267 2210 2852 1734 1004
"PBANKA_0610900" 6760 2785 2969 6776 1162 13105 13625 13402 12609 8261
"PBANKA_0611000" 146 59 63 189 19 366 379 540 446 306
"PBANKA_0611100" 295 87 114 365 49 736 751 771 469 411
"PBANKA_0611200" 20 2 19 11 3 49 59 72 45 45
"PBANKA_0611300" 28 8 24 43 0 96 64 151 96 92
"PBANKA_0611400" 180 63 69 202 19 449 444 570 414 380
"PBANKA_0611500" 1 2 2 5 0 3 8 16 46 14
"PBANKA_0611600" 6398 2168 1310 3745 752 3631 3764 5316 4141 5705
"PBANKA_0611700" 43 16 19 27 2 113 142 343 258 348
"PBANKA_0611800" 688 221 345 823 79 2055 2263 2830 1935 1367
"PBANKA_0611900" 142 40 48 158 9 308 311 426 301 408
"PBANKA_0612000" 26 10 20 55 3 129 164 161 136 134
"PBANKA_0612100" 152 44 39 157 11 410 450 410 313 231
"PBANKA_0612200" 297 57 57 258 24 752 805 1099 617 526
"PBANKA_0612300" 220 84 79 242 16 730 808 813 358 205
"PBANKA_0612400" 5664 1524 839 3864 426 191 660 489 276 254
"PBANKA_0612500" 74 15 29 121 8 191 174 230 233 264
"PBANKA_0612600" 27 8 10 26 0 96 81 90 62 36
"PBANKA_0612700" 65 24 26 95 3 210 193 282 174 200
"PBANKA_0612800" 281 86 79 276 38 628 769 862 563 392
"PBANKA_0612900" 15 8 6 17 0 7 9 10 4 3
"PBANKA_0613000" 31 8 22 30 4 133 105 168 144 88
"PBANKA_0613100" 162 57 56 168 7 442 402 517 369 444
"PBANKA_0613200" 556 137 120 308 88 924 1092 1443 836 1057
"PBANKA_0613300" 664 214 282 636 140 1839 1825 2891 2601 2855
"PBANKA_0613400" 480 208 175 394 64 1531 1357 1527 1637 1555
"PBANKA_0613500" 351 143 164 343 48 795 765 998 961 906
"PBANKA_0613600" 233 103 81 251 34 556 536 616 585 715
"PBANKA_0613700" 3230 1012 822 2263 339 6256 6654 4960 2708 1677
"PBANKA_0613800" 1439 450 360 977 220 2115 2062 1566 1471 811
"PBANKA_0613900" 373 169 193 397 62 422 413 493 693 380
"PBANKA_0614000" 5272 2139 1948 3913 885 13664 12903 16216 16107 20670
"PBANKA_0614100" 538 214 231 493 114 1557 1509 2099 2226 3315
"PBANKA_0614200" 167 53 101 226 29 580 526 683 430 436
"PBANKA_0614300" 207 101 93 195 43 788 595 795 947 1059
"PBANKA_0614400" 157 49 92 298 10 451 422 497 233 128
"PBANKA_0614500" 2968 1349 1239 2646 470 5876 5718 5976 6898 5239
"PBANKA_0614600" 263 96 91 219 28 752 927 957 975 844
"PBANKA_0614700" 231 171 139 342 54 645 517 588 753 834
"PBANKA_0614800" 229 112 137 266 30 615 667 867 584 560
"PBANKA_0614900" 292 96 85 224 38 474 550 1020 656 734
"PBANKA_0615000" 458 161 165 431 53 997 874 1087 1097 974
"PBANKA_0615100" 503 197 210 441 78 792 737 753 818 472
"PBANKA_0615200" 554 236 154 569 73 509 676 1167 985 951
"PBANKA_0615300" 1235 300 160 817 94 325 597 575 366 183
"PBANKA_0615400" 2732 1087 1025 2535 364 5806 5911 5677 5510 4172
"PBANKA_0615500" 105 20 17 81 6 42 52 50 37 9
"PBANKA_0615600" 572 221 235 544 103 1264 1171 1483 1140 1145
"PBANKA_0615700" 156 58 48 166 24 258 259 235 134 72
"PBANKA_0615800" 435 104 70 305 18 1058 1355 1026 310 315
"PBANKA_0615900" 5 3 0 3 0 4 7 9 2 3
"PBANKA_0616000" 201 85 73 147 70 272 185 151 231 455
"PBANKA_0616100" 905 372 378 868 174 1828 1706 2020 2074 2135
"PBANKA_0616200" 68 13 19 57 12 123 121 98 46 40
"PBANKA_0616300" 126 64 56 131 5 332 292 361 307 320
"PBANKA_0616400" 117 59 53 113 19 196 174 292 250 337
"PBANKA_0616500" 383 194 147 307 66 925 692 916 941 1128
"PBANKA_0616600" 228 92 99 225 19 560 524 737 646 840
"PBANKA_0616700" 396 160 142 398 58 232 300 345 285 570
"PBANKA_0616800" 388 131 131 388 42 1386 1537 1482 764 533
"PBANKA_0616900" 106 40 32 125 9 366 394 535 264 156
"PBANKA_0617000" 46 19 29 44 0 27 30 41 24 16
"PBANKA_0617100" 7737 3652 3614 6747 1513 13678 14581 15761 20342 17793
"PBANKA_0617200" 5543 2594 2671 4932 876 10694 10584 11952 16440 14419
"PBANKA_0617300" 163 50 57 216 12 479 630 810 398 227
"PBANKA_0617400" 644 178 162 478 87 1208 1295 1190 557 538
"PBANKA_0617500" 201 84 120 261 58 434 405 532 598 698
"PBANKA_0617600" 175 73 88 213 18 532 498 691 550 565
"PBANKA_0617700" 283 138 72 304 34 625 636 855 780 820
"PBANKA_0617800" 30 16 9 27 1 40 19 62 33 17
"PBANKA_0617900" 733 330 348 818 103 1333 1187 1105 1154 631
"PBANKA_0618000" 17 10 13 24 0 95 110 135 123 81
"PBANKA_0618100" 809 429 393 744 165 1863 1539 2082 2293 2529
"PBANKA_0618200" 1358 429 311 999 141 3358 3345 2533 1327 641
"PBANKA_0618300" 295 119 148 265 67 664 650 756 953 861
"PBANKA_0618400" 777 355 310 651 177 1612 1628 2042 2236 3127
"PBANKA_0618500" 192 70 56 190 20 596 734 678 343 278
"PBANKA_0618600" 1320 548 785 1872 99 4477 5197 7028 5582 4420
"PBANKA_0618700" 90 43 42 137 12 215 186 196 116 84
"PBANKA_0618800" 187 88 64 221 17 380 441 573 535 367
"PBANKA_0618900" 1554 724 709 1403 283 3681 3185 3874 4732 5389
"PBANKA_0619000" 21 17 9 27 1 155 131 229 206 92
"PBANKA_0619100" 15831 8691 6699 11870 3805 22601 21956 22308 37781 38353
"PBANKA_0619200" 764 574 385 1177 160 480 528 532 612 302
"PBANKA_0619300" 1218 479 468 950 308 2822 2621 3301 3163 5029
"PBANKA_0619400" 356 123 130 291 68 613 591 871 871 1181
"PBANKA_0619500" 42 26 20 81 4 126 127 137 145 145
"PBANKA_0619600" 40 20 23 49 5 110 118 123 98 61
"PBANKA_0619700" 30 6 5 6 0 54 64 144 167 108
"PBANKA_0619800" 463 152 141 345 44 1205 1375 1323 991 484
"PBANKA_0619900" 2120 970 891 1692 445 3981 3867 4137 4881 5305
"PBANKA_0620000" 206 63 68 219 46 495 400 568 619 432
"PBANKA_0620100" 647 201 195 562 40 1538 1558 1927 1665 918
"PBANKA_0620200" 398 214 149 458 59 665 701 891 950 1106
"PBANKA_0620300" 2413 896 537 1418 289 618 577 652 730 728
"PBANKA_0620400" 953 346 250 704 89 308 308 611 507 502
"PBANKA_0620500" 239 122 138 316 47 613 729 967 838 918
"PBANKA_0620600" 52 36 22 95 13 22 23 47 33 29
"PBANKA_0620700" 95 52 36 85 25 24 20 19 25 25
"PBANKA_0620800" 154 62 39 128 20 176 175 138 87 98
"PBANKA_0620900" 1367 436 308 915 118 3254 3730 2989 1728 868
"PBANKA_0621000" 250 125 109 201 42 456 364 415 694 625
"PBANKA_0621100" 182 59 64 169 27 242 191 374 293 337
"PBANKA_0621200" 144 58 51 165 7 396 422 356 349 158
"PBANKA_0621300" 557 152 108 375 48 1502 1792 1668 617 483
"PBANKA_0621400" 1155 381 305 950 120 3338 3702 3768 2119 1260
"PBANKA_0621500" 157 42 38 131 18 347 466 421 234 319
"PBANKA_0621600" 578 228 188 494 83 2045 1666 1711 1272 797
"PBANKA_0621700" 109 57 59 157 9 341 409 389 329 254
"PBANKA_0621800" 60 25 33 92 1 81 118 69 56 35
"PBANKA_0621900" 421 247 271 585 96 1247 1282 1284 1515 938
"PBANKA_0622000" 122 75 54 143 20 13 47 53 27 30
"PBANKA_0622100" 290 78 60 191 29 494 507 721 522 737
"PBANKA_0622200" 1246 361 268 950 127 2187 2194 1689 851 694
"PBANKA_0622300" 383 130 127 259 69 770 610 807 709 1221
"PBANKA_0622400" 2922 585 260 1608 165 413 644 325 152 90
"PBANKA_0622500" 106 36 24 147 7 156 196 213 101 94
"PBANKA_0622600" 86 23 32 127 11 346 453 595 310 153
"PBANKA_0622700" 527 206 220 512 38 1436 1540 2155 1966 1672
"PBANKA_0622800" 1083 239 275 835 159 2075 1999 2107 1621 1106
"PBANKA_0622900" 3 1 0 3 0 8 28 64 100 37
"PBANKA_0623000" 1730 728 657 1338 322 2826 2863 3546 5179 4154
"PBANKA_0623100" 10012 3564 2338 6110 1395 15221 15819 8961 5967 3444
"PBANKA_0623150" 380 183 192 462 48 774 933 1214 1298 777
"PBANKA_0623200" 5760 2635 2123 4310 1091 10502 10419 10835 16905 13669
"PBANKA_0623300" 5792 2512 2378 4729 937 10631 10825 11017 16737 10045
"PBANKA_0623400" 411 160 177 335 79 682 674 945 1486 1242
"PBANKA_0623500" 1671 705 741 1300 282 4707 4351 5850 6284 5673
"PBANKA_0623600" 23 3 0 8 3 7 130 51 23 11
"PBANKA_0623700" 0 0 0 0 0 4 6 10 0 6
"PBANKA_0700031" 0 0 0 0 0 80 1 50 2 0
"PBANKA_0700041" 0 0 0 2 0 355 307 372 375 344
"PBANKA_0700051" 1 1 0 2 0 14 4 16 0 4
"PBANKA_0700061" 21 5 1 9 1 19 14 20 16 12
"PBANKA_0700071" 27 5 3 6 0 33 351 502 127 235
"PBANKA_0700081" 4 6 11 4 0 20 24 37 52 46
"PBANKA_0700100" 6 4 15 8 3 117 111 67 232 100
"PBANKA_0700200" 2 1 0 3 0 32 17 16 187 14
"PBANKA_0700300" 0 0 0 0 0 4 2 1 6 2
"PBANKA_0700400" 2 4 2 0 0 29 24 17 22 10
"PBANKA_0700500" 14 3 0 1 0 91 49 63 91 30
"PBANKA_0700521" 2 9 0 4 0 113 148 197 187 200
"PBANKA_0700541" 99 48 34 169 20 71 168 828 267 140
"PBANKA_0700561" 935 389 453 648 155 1451 1617 1657 2688 1737
"PBANKA_0700600" 818 405 392 867 148 1202 1376 1408 1850 1429
"PBANKA_0700700" 900 355 401 943 99 2369 2366 2881 3808 2324
"PBANKA_0700800" 273 132 74 181 53 320 321 570 593 1036
"PBANKA_0700900" 126 38 16 81 9 828 880 854 471 250
"PBANKA_0701100" 1508 675 1021 2294 136 4677 4820 6120 5464 3525
"PBANKA_0701200" 17 7 6 17 2 26 38 45 19 12
"PBANKA_0701300" 5 6 4 2 0 9 20 21 19 12
"PBANKA_0701400" 166 80 71 259 24 730 728 971 607 667
"PBANKA_0701500" 1787 764 713 1186 339 3298 2700 2688 3144 2672
"PBANKA_0701600" 1144 436 458 830 229 3079 2351 2848 3202 2203
"PBANKA_0701700" 213 71 53 215 18 841 858 756 450 282
"PBANKA_0701800" 163 83 84 139 34 259 298 636 587 741
"PBANKA_0701900" 7 7 3 20 0 37 53 150 149 88
"PBANKA_0702000" 78 36 32 66 1 53 77 101 75 72
"PBANKA_0702100" 61 24 33 72 19 44 36 60 33 26
"PBANKA_0702200" 232 108 78 199 42 701 613 729 617 757
"PBANKA_0702300" 195 69 94 231 14 389 380 374 279 276
"PBANKA_0702400" 505 163 177 512 53 880 962 1060 956 698
"PBANKA_0702500" 116 43 46 140 1 281 305 253 139 37
"PBANKA_0702600" 14 11 12 48 2 59 66 85 37 27
"PBANKA_0702700" 69 25 24 80 3 103 119 133 126 108
"PBANKA_0702800" 10218 4396 4264 9270 1645 22649 22883 28576 29544 37653
"PBANKA_0702900" 812 233 195 533 81 1528 1759 1366 666 444
"PBANKA_0703000" 6 8 1 5 0 12 32 42 23 17
"PBANKA_0703100" 222 71 51 264 28 757 759 596 186 153
"PBANKA_0703200" 220 102 92 239 13 710 606 877 777 715
"PBANKA_0703300" 159 79 54 244 11 181 236 392 262 291
"PBANKA_0703400" 300 111 190 484 60 914 1134 1336 985 615
"PBANKA_0703500" 472 185 110 464 23 93 109 136 113 140
"PBANKA_0703600" 129 35 58 160 1 419 498 541 250 111
"PBANKA_0703700" 359 138 131 387 18 985 1216 1091 689 301
"PBANKA_0703800" 25 8 14 27 1 149 243 257 101 36
"PBANKA_0703900" 23367 12391 9912 17242 5704 39400 37770 39217 62525 70136
"PBANKA_0704000" 96 46 54 136 10 232 153 215 220 185
"PBANKA_0704100" 989 300 343 936 83 2409 2746 2640 1818 1287
"PBANKA_0704200" 193 75 82 248 15 391 513 826 864 970
"PBANKA_0704300" 242 59 68 236 7 730 728 1181 858 940
"PBANKA_0704400" 117 67 51 117 6 213 290 396 299 311
"PBANKA_0704500" 4264 1036 813 2842 464 5737 7102 3317 1653 988
"PBANKA_0704600" 292 99 96 317 35 640 729 771 499 263
"PBANKA_0704700" 115 92 64 173 20 8 11 18 22 19
"PBANKA_0704800" 1283 434 384 1401 90 25 176 191 152 139
"PBANKA_0704900" 708 317 307 941 37 9 139 121 94 82
"PBANKA_0705000" 90 43 42 76 8 203 148 203 228 289
"PBANKA_0705100" 403 112 160 468 42 1271 1597 1678 997 427
"PBANKA_0705200" 244 82 115 288 55 867 919 1329 1053 1207
"PBANKA_0705300" 40 16 14 20 4 174 182 372 208 362
"PBANKA_0705400" 92 20 23 77 5 226 240 307 372 396
"PBANKA_0705500" 32 22 13 42 3 10 18 48 56 35
"PBANKA_0705600" 885 165 94 554 52 388 594 478 182 96
"PBANKA_0705700" 270 114 96 271 27 815 926 1174 821 436
"PBANKA_0705800" 792 234 258 724 62 2131 2473 2249 1869 1093
"PBANKA_0705900" 300 107 119 332 41 653 693 845 748 801
"PBANKA_0706000" 482 154 159 371 55 861 871 948 847 600
"PBANKA_0706100" 166 74 95 210 15 341 261 286 364 247
"PBANKA_0706200" 335 125 188 407 30 723 718 649 549 447
"PBANKA_0706300" 184 68 80 225 20 595 597 451 222 72
"PBANKA_0706400" 368 89 112 309 40 1038 1099 1257 740 795
"PBANKA_0706500" 198 90 93 190 37 354 230 278 295 267
"PBANKA_0706600" 26 9 4 62 4 21 31 35 15 6
"PBANKA_0706700" 1558 608 466 1153 170 1320 1531 1837 2586 2160
"PBANKA_0706800" 253 70 98 245 17 647 569 721 417 411
"PBANKA_0706900" 240 153 131 219 20 703 624 807 860 844
"PBANKA_0707000" 9 0 2 6 0 31 45 113 69 65
"PBANKA_0707100" 4468 1409 860 3251 366 82 330 319 257 309
"PBANKA_0707200" 48 31 25 65 5 79 117 79 48 31
"PBANKA_0707300" 2015 690 529 1418 217 4638 4866 4551 2387 1830
"PBANKA_0707400" 2969 1401 1372 2712 770 3069 2829 3301 4551 5175
"PBANKA_0707500" 691 299 287 658 135 1427 1277 1477 1530 1009
"PBANKA_0707600" 117 45 36 140 18 636 610 659 427 337
"PBANKA_0707700" 72 24 18 61 14 128 161 647 709 357
"PBANKA_0707800" 378 121 193 442 66 822 862 1103 982 1112
"PBANKA_0707900" 12 8 5 18 3 42 23 37 31 72
"PBANKA_0708000" 4687 1941 1825 3758 814 8945 8273 10044 11009 11780
"PBANKA_0708100" 213 114 78 226 47 202 181 211 268 126
"PBANKA_0708200" 206 114 69 206 48 303 268 261 384 161
"PBANKA_0708400" 83 26 35 134 2 241 244 300 272 212
"PBANKA_0708500" 107 33 38 127 16 127 186 173 137 157
"PBANKA_0708600" 105 56 76 174 9 284 298 271 278 191
"PBANKA_0708700" 74 22 45 99 10 281 281 363 265 196
"PBANKA_0708800" 1076 380 429 941 147 2910 3098 3405 2727 2597
"PBANKA_0708900" 166 64 69 187 22 489 476 675 578 683
"PBANKA_0709000" 1410 586 613 1103 215 2261 2061 3021 3727 4863
"PBANKA_0709100" 3939 2045 1977 4031 740 7742 8246 9452 11888 10775
"PBANKA_0709200" 172 96 87 317 32 772 738 998 705 483
"PBANKA_0709300" 107 44 62 134 8 326 342 451 440 258
"PBANKA_0709400" 494 229 252 600 68 1562 1244 1874 2235 1462
"PBANKA_0709500" 1383 597 547 1431 191 2512 2596 2680 3149 2263
"PBANKA_0709600" 218 73 113 267 24 451 445 546 603 361
"PBANKA_0709700" 229 44 72 248 26 567 647 690 455 353
"PBANKA_0709800" 223 135 122 252 44 318 349 789 732 823
"PBANKA_0709900" 119 46 46 119 20 256 247 257 178 163
"PBANKA_0710000" 93 34 28 68 9 348 339 429 324 343
"PBANKA_0710100" 2056 656 570 1429 345 3714 3657 4115 2760 3879
"PBANKA_0710200" 47 27 10 54 16 119 115 221 196 239
"PBANKA_0710300" 362 118 150 331 14 1102 978 1274 1337 1034
"PBANKA_0710400" 157 56 42 176 34 409 385 455 419 398
"PBANKA_0710500" 99 65 39 169 7 422 525 581 504 258
"PBANKA_0710600" 254 170 154 448 58 637 692 652 611 418
"PBANKA_0710700" 235 83 105 216 27 418 484 474 385 284
"PBANKA_0710800" 1902 565 445 1382 257 4933 5384 4800 2468 1826
"PBANKA_0710900" 280 148 137 287 36 911 1031 1304 1214 1506
"PBANKA_0711000" 87 40 22 84 9 142 191 156 73 61
"PBANKA_0711100" 159 72 89 199 12 303 343 386 335 422
"PBANKA_0711200" 867 274 287 854 124 2250 1652 2077 1452 1322
"PBANKA_0711300" 78 39 18 87 13 9 12 18 37 10
"PBANKA_0711400" 3 3 2 14 0 10 4 5 16 8
"PBANKA_0711500" 24 0 10 42 4 73 61 75 84 46
"PBANKA_0711600" 41 9 11 30 1 189 169 166 160 78
"PBANKA_0711700" 99 38 57 175 5 259 284 381 310 137
"PBANKA_0711800" 1378 405 426 1258 142 3325 3438 2996 1536 960
"PBANKA_0711900" 114025 65662 59750 126607 24028 229468 185963 207736 126440 155704
"PBANKA_0712000" 399 160 215 471 42 1172 1175 1650 1548 1049
"PBANKA_0712100" 553 128 109 400 56 868 875 847 595 484
"PBANKA_0712200" 1881 835 599 1235 253 1181 1493 2071 2347 2777
"PBANKA_0712300" 567 217 269 582 80 1583 1504 1950 1815 1183
"PBANKA_0712400" 234 101 104 218 40 510 506 736 888 591
"PBANKA_0712500" 7 2 12 9 6 14 26 27 17 15
"PBANKA_0712600" 16670 7607 6257 12511 3787 31345 27260 34583 41767 60994
"PBANKA_0712700" 28 8 9 15 0 28 32 86 80 67
"PBANKA_0712800" 875 338 352 766 154 2307 2374 2769 2401 1372
"PBANKA_0712900" 3113 1244 1051 2725 336 2848 3140 3744 4611 2869
"PBANKA_0713000" 130 60 50 155 21 370 293 568 510 710
"PBANKA_0713100" 227 71 66 171 33 750 782 1814 1961 1185
"PBANKA_0713200" 145 45 61 112 8 122 176 301 300 291
"PBANKA_0713300" 2164 899 872 1663 452 3910 3767 4810 4714 8094
"PBANKA_0713400" 66 33 26 95 22 146 128 135 134 153
"PBANKA_0713500" 632 220 184 529 80 887 858 719 390 339
"PBANKA_0713600" 52 24 9 63 10 164 279 307 252 156
"PBANKA_0713700" 90 57 64 138 8 256 298 334 252 158
"PBANKA_0713800" 47 10 8 33 8 115 120 110 106 128
"PBANKA_0713900" 41 5 7 38 0 67 77 132 94 105
"PBANKA_0714000" 6890 2643 1501 3842 782 546 874 1005 1109 1124
"PBANKA_0714100" 343 138 142 326 36 666 752 827 855 1049
"PBANKA_0714200" 3334 1074 922 2476 545 6822 6242 5207 3467 3060
"PBANKA_0714300" 315 142 73 235 45 186 116 181 142 145
"PBANKA_0714400" 954 453 402 889 170 2235 2000 2344 2379 2785
"PBANKA_0714500" 14 8 4 12 0 2 2 8 4 2
"PBANKA_0714600" 176 59 67 155 33 159 166 281 286 367
"PBANKA_0714700" 213 79 103 191 44 375 334 487 542 625
"PBANKA_0714800" 694 309 256 624 155 682 642 634 949 927
"PBANKA_0714900" 13 13 6 13 6 24 12 19 26 17
"PBANKA_0715000" 682 227 164 544 85 2166 2335 2109 1186 1444
"PBANKA_0715100" 46 24 31 59 1 127 160 188 144 99
"PBANKA_0715200" 3029 1501 1332 2662 725 6642 6044 7083 8306 8631
"PBANKA_0715300" 168 56 55 180 21 497 636 1388 951 899
"PBANKA_0715400" 394 165 193 507 61 1061 1079 1641 1672 1995
"PBANKA_0715500" 424 141 131 396 76 909 810 1025 1020 1180
"PBANKA_0715600" 5504 2294 2036 4065 1009 13106 11409 14006 15230 19197
"PBANKA_0715700" 363 144 91 356 70 417 427 620 742 701
"PBANKA_0715800" 204 62 75 201 30 487 477 746 671 694
"PBANKA_0715900" 722 246 255 635 87 1399 1746 1865 1187 1045
"PBANKA_0716000" 1249 389 294 1213 187 2964 3351 2491 925 859
"PBANKA_0716100" 135 46 51 188 15 286 241 258 202 101
"PBANKA_0716200" 75 28 30 69 9 98 131 247 272 403
"PBANKA_0716300" 69 16 29 79 2 152 168 228 224 205
"PBANKA_0716400" 33 21 10 30 3 82 71 102 80 69
"PBANKA_0716500" 684 360 224 656 110 366 378 323 441 659
"PBANKA_0716600" 242 103 135 293 34 492 401 561 517 721
"PBANKA_0716700" 331 139 140 352 23 857 960 1200 656 493
"PBANKA_0716900" 105 45 40 117 16 222 205 552 941 799
"PBANKA_0717000" 963 510 527 1052 135 1816 1841 2039 2194 1838
"PBANKA_0717100" 11 5 2 15 2 11 21 35 30 13
"PBANKA_0717200" 220 69 80 223 22 559 562 528 322 214
"PBANKA_0717300" 1919 571 427 1318 232 3751 4122 2962 1969 1075
"PBANKA_0717400" 67 20 20 69 5 241 323 423 332 261
"PBANKA_0717500" 369 188 164 319 76 1319 1243 1640 1834 1989
"PBANKA_0717600" 111 71 66 177 15 245 254 290 225 198
"PBANKA_0717700" 356 120 123 322 48 1086 884 1092 918 892
"PBANKA_0717800" 14553 7068 6072 11188 2918 21064 20744 21792 30835 29415
"PBANKA_0717900" 1064 470 440 1031 200 3450 3270 4394 4226 4308
"PBANKA_0718000" 9 2 1 10 1 33 41 47 20 7
"PBANKA_0718100" 395 105 141 450 58 665 583 576 600 400
"PBANKA_0718200" 115 39 53 176 12 269 240 287 299 215
"PBANKA_0718300" 207 46 26 99 22 569 748 673 324 411
"PBANKA_0718400" 747 160 149 508 68 1499 1545 1841 765 1189
"PBANKA_0718500" 58 29 15 47 9 138 96 122 117 170
"PBANKA_0718600" 53 25 24 54 4 94 130 168 80 51
"PBANKA_0718700" 98 35 45 63 15 116 113 191 227 183
"PBANKA_0718800" 1945 976 725 1239 502 2011 1872 2133 3425 3842
"PBANKA_0718900" 360 117 110 359 23 784 725 578 366 171
"PBANKA_0719100" 79 36 28 104 17 22 22 58 25 33
"PBANKA_0719200" 36 14 9 29 0 109 153 252 87 203
"PBANKA_0719300" 450 167 164 332 69 851 852 1182 978 1660
"PBANKA_0719400" 876 262 263 717 101 1839 1857 2004 1563 1258
"PBANKA_0719500" 331 87 94 260 30 590 649 486 308 190
"PBANKA_0719600" 468 140 192 557 85 978 798 796 683 409
"PBANKA_0719700" 103 38 33 131 16 11 26 13 3 5
"PBANKA_0719800" 194 87 64 226 19 16 31 21 38 30
"PBANKA_0719900" 166 25 43 115 15 243 142 214 212 140
"PBANKA_0720000" 41 21 15 57 10 75 67 59 31 27
"PBANKA_0720100" 82 34 13 64 3 61 61 47 43 25
"PBANKA_0720200" 386 110 108 349 38 789 731 765 569 362
"PBANKA_0720300" 595 319 263 606 62 747 697 787 894 734
"PBANKA_0720400" 3008 871 745 2306 356 5439 5714 5558 4479 3162
"PBANKA_0720500" 69 41 28 79 21 202 160 238 209 245
"PBANKA_0720600" 754 400 311 625 183 1868 1772 2030 2571 3683
"PBANKA_0720700" 12 6 2 13 1 57 54 67 50 19
"PBANKA_0720800" 761 272 291 718 79 1154 1075 1216 1489 963
"PBANKA_0720900" 3140 1055 646 1677 267 137 353 377 483 453
"PBANKA_0721000" 68 21 20 38 6 36 29 90 97 82
"PBANKA_0721100" 79 50 53 97 7 117 133 176 173 109
"PBANKA_0721200" 10 8 4 32 0 46 58 48 41 16
"PBANKA_0721300" 133 61 81 190 10 390 405 554 498 324
"PBANKA_0721400" 135 54 72 162 14 333 363 464 456 349
"PBANKA_0721500" 292 89 64 290 17 886 1076 978 492 313
"PBANKA_0721600" 45 23 50 72 9 120 116 134 112 77
"PBANKA_0721700" 3567 1003 1259 3259 369 7158 6615 6741 6369 4165
"PBANKA_0721800" 9 2 1 7 3 18 8 30 23 4
"PBANKA_0721900" 146 124 122 279 14 358 468 532 539 335
"PBANKA_0722000" 217 59 68 242 17 489 511 484 318 197
"PBANKA_0722600" 1 4 0 5 0 353 658 243 583 178
"PBANKA_0722801" 9 4 14 21 3 315 113 86 187 132
"PBANKA_0722921" 98 17 14 66 5 40 46 66 80 64
"PBANKA_0722941" 607 284 320 699 113 1254 1249 1505 1761 1503
"PBANKA_0800021" 0 0 0 3 0 4 3 4 5 1
"PBANKA_0800061" 0 1 0 2 0 15 21 7 21 0
"PBANKA_0800100" 32 17 40 41 4 1171 442 129 219 73
"PBANKA_0800300" 1398 607 629 1076 249 1412 1583 1452 2493 1353
"PBANKA_0800400" 3120 1243 1689 3774 285 6294 6414 7499 10770 5154
"PBANKA_0800500" 652 285 267 457 109 1213 1436 1078 1310 1007
"PBANKA_0800600" 216 77 101 240 31 460 454 519 602 706
"PBANKA_0800700" 219 73 64 173 20 480 499 490 228 210
"PBANKA_0800800" 57 34 33 66 8 215 183 195 201 145
"PBANKA_0800900" 256 76 78 309 26 993 976 953 394 236
"PBANKA_0801000" 434 171 160 326 64 1096 867 1006 1390 1442
"PBANKA_0801100" 71 35 24 88 10 165 182 218 127 138
"PBANKA_0801200" 6244 1966 1532 4413 739 12520 14647 10129 6016 3169
"PBANKA_0801300" 16 12 19 23 0 110 124 313 303 254
"PBANKA_0801400" 620 263 345 819 76 1765 1712 1924 2206 1435
"PBANKA_0801500" 20 12 8 26 9 26 27 38 25 11
"PBANKA_0801600" 445 124 110 381 35 809 995 817 371 248
"PBANKA_0801700" 248 65 94 266 23 430 451 343 215 159
"PBANKA_0801800" 422 108 58 291 12 52 96 111 69 37
"PBANKA_0801900" 883 302 239 757 119 1890 1793 1690 1014 557
"PBANKA_0802000" 339 123 117 314 36 867 926 779 340 161
"PBANKA_0802100" 477 186 224 531 51 1397 1382 1690 1214 938
"PBANKA_0802200" 26 8 8 34 1 33 50 145 88 48
"PBANKA_0802300" 4808 1230 957 3558 442 6723 8168 5086 3109 2231
"PBANKA_0802400" 29 17 14 28 1 93 121 141 94 65
"PBANKA_0802500" 14 1 22 20 1 40 69 60 51 14
"PBANKA_0802600" 55 28 40 97 1 208 225 370 208 101
"PBANKA_0802700" 515 160 198 426 53 1368 1526 1288 750 534
"PBANKA_0802800" 86 31 21 61 10 155 132 190 141 104
"PBANKA_0802900" 85 41 43 97 19 154 165 123 119 105
"PBANKA_0803000" 140 47 30 112 12 274 418 515 352 293
"PBANKA_0803100" 2605 943 787 1809 429 5374 5107 5788 4368 5929
"PBANKA_0803200" 771 167 170 668 59 2140 2672 1887 704 486
"PBANKA_0803300" 316 125 109 334 44 1057 1165 817 484 202
