"CAPKO_1" "CAPKO_2" "CAPKO_3" "CAPKO_4" "CAPKO_5" "WT_1" "WT_2" "WT_3" "WT_4" "WT_5"
"PBANKA_0107700" 1975 840 795 1635 360 4583 3848 4442 6529 4893
"PBANKA_0107800" 33 24 20 31 1 48 34 58 54 49
"PBANKA_0107900" 279 98 104 245 24 753 755 1020 728 534
"PBANKA_0108000" 101 63 48 130 7 267 199 258 241 135
"PBANKA_0108100" 123 41 36 121 11 121 120 106 140 78
"PBANKA_0108200" 299 120 104 346 27 841 914 731 427 188
"PBANKA_0108300" 292 100 71 196 19 52 80 196 208 134
"PBANKA_0108400" 189 54 62 157 17 497 485 591 362 283
"PBANKA_0108500" 156 75 78 220 26 532 549 786 647 420
"PBANKA_0108600" 240 98 104 301 16 855 916 1010 685 457
"PBANKA_0108700" 1116 303 335 1195 61 2813 2902 2493 1181 562
"PBANKA_0108800" 739 287 228 492 116 1010 1054 1858 2989 4284
"PBANKA_0108900" 611 287 298 576 99 966 1051 1326 1668 1623
"PBANKA_0109000" 359 208 224 527 43 849 1136 1019 758 725
"PBANKA_0109100" 6345 2381 2260 5246 879 12120 11459 11182 10461 10361
"PBANKA_0109200" 1544 438 372 1145 117 4027 4646 3359 1521 883
"PBANKA_0109300" 219 91 95 203 33 661 738 998 1005 960
"PBANKA_0109400" 52 33 28 65 15 219 225 277 261 373
"PBANKA_0109500" 411 189 196 548 85 1498 1299 1765 1431 1509
"PBANKA_0109600" 927 355 334 795 125 2183 2127 3110 2851 4131
"PBANKA_0109700" 684 202 288 796 100 1463 1492 1636 1433 962
"PBANKA_0109800" 301 111 73 241 30 11 33 28 18 7
"PBANKA_0109900" 132 54 47 209 9 81 124 198 155 35
"PBANKA_0110000" 2244 996 1336 2655 233 4370 5167 5636 6497 4488
"PBANKA_0110100" 866 262 180 629 88 2824 3620 2334 977 644
"PBANKA_0110200" 417 189 132 445 54 627 629 895 851 981
"PBANKA_0110300" 15 1 14 20 0 108 101 253 319 342
"PBANKA_0110400" 297 182 210 477 20 825 1085 1057 965 537
"PBANKA_0110500" 1084 272 143 549 96 519 827 518 191 185
"PBANKA_0110600" 8 1 3 17 2 18 11 23 44 29
"PBANKA_0110700" 0 1 2 5 2 2 4 7 1 0
"PBANKA_0110800" 197 92 66 223 17 27 35 51 30 13
"PBANKA_0110900" 188 87 106 194 29 326 343 397 306 209
"PBANKA_0111000" 22 10 16 37 0 109 76 268 445 230
"PBANKA_0111100" 160 45 67 177 17 259 282 311 309 190
"PBANKA_0111200" 1015 325 441 1265 60 2526 3062 3178 2283 1009
"PBANKA_0111400" 232 108 106 247 48 625 754 936 1022 759
"PBANKA_0111500" 11 5 9 23 3 78 130 249 153 207
"PBANKA_0111600" 28 7 10 34 7 56 55 135 174 84
"PBANKA_0111700" 210 57 60 176 19 351 402 618 606 805
"PBANKA_0111800" 320 143 121 342 57 819 950 984 868 801
"PBANKA_0111900" 41 10 13 41 0 140 118 174 163 97
"PBANKA_0112000" 121 39 77 164 21 384 391 692 463 487
"PBANKA_0112100" 148 21 20 73 24 214 314 382 264 202
"PBANKA_0112200" 59 14 15 38 8 150 155 309 232 92
"PBANKA_0112300" 107 35 49 142 11 211 246 293 215 169
"PBANKA_0112400" 183 83 70 190 10 583 746 712 599 269
"PBANKA_0112500" 580 252 260 598 114 1462 1214 1734 1809 1437
"PBANKA_0112600" 962 343 447 1172 78 2991 3016 3853 2773 1568
"PBANKA_0112641" 233 95 128 244 46 494 656 790 897 564
"PBANKA_0200400" 831 316 303 625 128 2537 2367 3314 4376 3813
"PBANKA_0200600" 1030 419 582 1083 167 3526 2437 3552 4028 3303
"PBANKA_0200650" 7 0 0 3 0 51 39 33 42 75
"PBANKA_0200700" 8 4 7 12 0 150 236 203 100 71
"PBANKA_0201000" 181 65 129 296 21 737 925 1131 783 540
"PBANKA_0201051" 10 7 2 11 2 10 28 11 5 0
"PBANKA_0201300" 480 181 198 381 86 897 756 990 1383 1185
"PBANKA_0201340" 1169 494 489 967 269 2538 1651 2160 2781 2997
"PBANKA_0201500" 2998 1238 1326 2592 496 8669 8934 12105 13303 12814
"PBANKA_0201600" 43994 18670 16654 33613 8923 128006 91811 114855 165359 170475
"PBANKA_0201700" 24 12 0 10 2 32 50 70 43 35
"PBANKA_0201800" 520 126 238 659 42 1160 1399 1524 965 673
"PBANKA_0201900" 684 273 239 682 121 1547 1334 1558 1371 1505
"PBANKA_0202000" 883 311 418 1036 80 1930 1957 2035 1509 809
"PBANKA_0202100" 8 5 2 15 0 20 48 45 14 19
"PBANKA_0202200" 156 68 73 181 26 524 414 546 585 466
"PBANKA_0202300" 647 325 287 603 110 1904 1630 1935 2164 1949
"PBANKA_0202400" 229 82 100 249 19 681 853 1094 889 706
"PBANKA_0202500" 73 34 20 87 4 135 277 291 233 110
"PBANKA_0202600" 53 28 12 42 10 97 94 75 125 81
"PBANKA_0202700" 380 130 95 351 51 563 582 348 225 116
"PBANKA_0202800" 85 38 32 131 9 204 275 278 230 195
"PBANKA_0202900" 1301 544 592 1138 190 2623 2363 2501 3094 2564
"PBANKA_0203000" 7376 3090 2488 5442 1402 13889 13269 19395 19706 37124
"PBANKA_0203100" 1133 297 280 948 116 2112 2126 2227 1802 1140
"PBANKA_0203200" 297 81 71 227 29 928 1079 942 527 343
"PBANKA_0203300" 357 157 130 394 54 531 492 616 582 552
"PBANKA_0203400" 84 33 46 62 13 272 261 293 259 281
"PBANKA_0203500" 436 121 188 499 49 1266 1337 1529 1072 667
"PBANKA_0203600" 418 178 188 503 22 130 223 216 177 115
"PBANKA_0203650" 390 185 137 332 59 528 585 781 855 1378
"PBANKA_0203750" 162 38 51 135 9 193 329 398 353 358
"PBANKA_0203800" 680 235 335 741 65 1409 1384 1510 1396 813
"PBANKA_0203900" 72 35 26 110 5 192 203 242 220 155
"PBANKA_0204000" 197 94 146 279 14 787 699 685 780 433
"PBANKA_0204100" 623 336 325 744 95 1553 1544 1758 1786 1524
"PBANKA_0204200" 159 99 68 201 47 422 480 797 541 858
"PBANKA_0204400" 429 231 152 324 88 919 874 1080 1234 1628
"PBANKA_0204500" 427 218 146 516 64 37 72 72 39 43
"PBANKA_0204600" 117 50 17 85 12 58 83 496 856 754
"PBANKA_0204700" 468 170 182 336 60 1302 1214 1482 1397 1701
"PBANKA_0204800" 1094 382 312 1057 92 3355 3657 3849 2488 1334
"PBANKA_0204900" 100 38 41 125 12 333 364 525 409 462
"PBANKA_0205000" 1376 488 657 1607 171 2797 2939 3768 4840 1574
"PBANKA_0205100" 195 91 90 168 33 515 494 743 1041 839
"PBANKA_0205200" 6284 1579 1281 4527 612 13744 15986 10671 5880 3374
"PBANKA_0205300" 319 98 140 337 42 563 575 740 578 751
"PBANKA_0205400" 1737 795 731 1571 378 3873 3536 4523 4685 7243
"PBANKA_0205500" 107 56 86 122 18 265 261 254 355 199
"PBANKA_0205600" 174 98 92 195 38 510 598 507 504 317
"PBANKA_0205700" 8 2 3 4 1 23 27 16 14 23
"PBANKA_0205800" 498 147 96 293 47 315 421 302 242 188
"PBANKA_0205900" 1577 481 615 1456 239 4694 4858 5048 4466 2634
"PBANKA_0206000" 213 110 100 287 26 547 554 833 654 742
"PBANKA_0206100" 337 177 141 321 98 733 594 844 775 1278
"PBANKA_0206200" 204 73 102 238 20 463 451 693 581 458
"PBANKA_0206300" 456 191 184 420 59 1309 1389 2579 2563 3870
"PBANKA_0206400" 73 20 16 46 0 79 84 123 78 59
"PBANKA_0206500" 1076 414 345 710 218 1868 1694 2766 2694 5586
"PBANKA_0206600" 521 172 158 414 32 1294 1662 1311 829 481
"PBANKA_0206700" 8 3 3 6 1 19 18 24 15 19
"PBANKA_0206800" 40 27 20 92 2 289 363 414 162 132
"PBANKA_0206900" 300 123 142 223 67 542 599 551 768 563
"PBANKA_0207000" 3449 1216 1035 2531 622 6749 5962 5620 5027 5356
"PBANKA_0207100" 14 13 5 23 3 4 16 33 53 29
"PBANKA_0207200" 320 167 172 453 33 875 859 1013 1010 891
"PBANKA_0207300" 113 27 18 60 7 272 328 525 349 373
"PBANKA_0207400" 61 25 22 104 4 137 128 189 146 121
"PBANKA_0207500" 196 57 34 146 26 490 662 1040 633 662
"PBANKA_0207600" 414 100 76 286 31 606 700 510 346 185
"PBANKA_0207700" 335 105 127 428 33 834 885 663 518 360
"PBANKA_0207800" 211 100 79 172 47 621 598 708 575 923
"PBANKA_0207900" 3 0 0 0 0 4 8 20 50 21
"PBANKA_0208000" 118 58 55 107 5 239 359 605 713 784
"PBANKA_0208100" 874 331 321 724 155 2134 2014 2463 2196 1781
"PBANKA_0208200" 326 168 139 249 88 1091 1043 1915 1921 2989
"PBANKA_0208300" 194 72 73 138 13 333 408 563 554 732
"PBANKA_0208400" 35 23 11 59 4 67 52 106 83 98
"PBANKA_0208500" 205 72 61 194 42 412 367 400 290 185
"PBANKA_0208600" 165 62 74 221 19 318 292 321 352 293
"PBANKA_0208700" 1019 399 504 1091 143 2572 2507 2841 2696 2352
"PBANKA_0208800" 2027 508 422 1498 170 4638 5007 3291 1503 988
"PBANKA_0208900" 13 4 5 8 2 70 90 407 484 250
"PBANKA_0209000" 15 2 6 24 0 50 59 188 169 76
"PBANKA_0209100" 20 1 8 9 5 22 22 81 94 68
"PBANKA_0209200" 166 71 67 176 11 354 370 409 371 277
"PBANKA_0209300" 1068 679 391 957 250 139 168 452 404 554
"PBANKA_0209400" 110 47 37 74 33 189 200 213 208 389
"PBANKA_0209500" 208 60 77 282 32 503 550 518 314 192
"PBANKA_0209600" 67 21 29 91 3 113 109 163 77 98
"PBANKA_0209700" 244 67 37 147 23 137 157 188 88 86
"PBANKA_0209800" 68 27 22 84 10 93 119 110 122 41
"PBANKA_0209900" 164 74 84 256 28 387 386 472 352 281
"PBANKA_0210000" 155 56 55 88 19 329 450 425 363 254
"PBANKA_0210100" 30 21 28 45 0 21 43 89 62 62
"PBANKA_0210200" 1546 516 666 1767 154 3445 3034 3571 3454 2078
"PBANKA_0210300" 24 1 5 8 0 31 53 122 96 105
"PBANKA_0210400" 474 153 137 432 41 816 1037 933 688 507
"PBANKA_0210500" 360 122 96 273 37 880 779 802 485 474
"PBANKA_0210600" 4132 1023 907 2672 386 6906 7367 5133 2489 1843
"PBANKA_0210700" 209 57 99 205 15 673 714 748 476 375
"PBANKA_0210800" 342 182 180 548 41 947 1013 1344 1293 923
"PBANKA_0210900" 99 48 63 136 13 236 281 404 289 247
"PBANKA_0211000" 445 178 172 419 61 1179 1056 991 1123 776
"PBANKA_0211100" 71 33 35 74 7 187 208 305 155 94
"PBANKA_0211200" 310 89 101 236 26 691 587 689 564 357
"PBANKA_0211300" 522 217 228 475 86 1720 1514 1912 1659 1240
"PBANKA_0211400" 664 214 199 493 74 1409 1324 1405 1231 1291
"PBANKA_0211500" 1973 911 871 2073 439 4880 4581 5773 5425 7092
"PBANKA_0211600" 305 124 95 291 39 812 808 915 755 756
"PBANKA_0211700" 28 9 13 56 1 74 93 95 52 39
"PBANKA_0211800" 37 14 29 41 4 248 223 251 201 130
"PBANKA_0211900" 488 157 161 467 37 1325 1536 1462 937 918
"PBANKA_0212000" 38 20 13 27 2 164 148 152 59 35
"PBANKA_0212100" 5477 2213 2059 4610 870 9357 8095 8649 10645 8848
"PBANKA_0212200" 339 84 83 272 27 721 832 625 265 158
"PBANKA_0212300" 131 43 41 188 32 392 406 460 336 304
"PBANKA_0212400" 547 207 244 576 80 1255 1189 1528 1292 1432
"PBANKA_0212500" 82 40 55 96 2 187 257 284 217 165
"PBANKA_0212600" 10 1 3 12 1 4 7 22 7 5
"PBANKA_0212700" 563 160 142 492 62 948 1009 735 449 443
"PBANKA_0212900" 559 200 225 577 53 1040 1037 1227 971 985
"PBANKA_0213000" 1343 460 503 1072 159 2014 2049 2124 1733 1912
"PBANKA_0213100" 349 131 153 326 52 817 670 804 894 1052
"PBANKA_0213200" 770 192 161 447 90 1514 2148 1634 954 1059
"PBANKA_0213300" 226 107 123 222 44 607 740 805 801 860
"PBANKA_0213400" 1715 499 473 1262 200 4394 4842 4592 3856 2116
"PBANKA_0213500" 343 136 154 404 44 943 920 939 947 468
"PBANKA_0213600" 715 242 194 551 95 1864 2063 1875 1154 754
"PBANKA_0213700" 240 94 121 287 70 832 718 845 837 600
"PBANKA_0213800" 257 101 81 154 37 275 310 272 381 259
"PBANKA_0213900" 52 30 17 26 7 6 4 13 18 9
"PBANKA_0214000" 443 126 70 291 79 44 88 41 27 25
"PBANKA_0214100" 28 21 15 47 7 135 113 145 133 130
"PBANKA_0214200" 1508 505 472 1263 194 2512 2375 2128 1592 905
"PBANKA_0214300" 1861 778 707 1626 353 4552 4376 4645 4078 3806
"PBANKA_0214400" 3996 940 770 2293 490 8264 8359 7552 4535 4704
"PBANKA_0214500" 136 40 55 115 33 328 297 589 618 442
